,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
ABBV,0.06578572563483284,0.05667211282339228,-0.016200828185681148,0.11698014250882756,-0.1299657272948339,-0.1842559334548436,0.05412086706383312,-0.1546061712638621,0.1289559327884346,-0.03972385488228572
BAC,0.1098898667973504,-0.10045997239714946,-0.04582525793075553,-0.11714258024318353,-0.0656466542237579,-0.019069946103160547,0.08710821960256095,0.03810304377484952,-0.0008555731150344664,0.03139319388802658
HD,0.09495196460870277,0.03608936536106028,0.1425526151204538,-0.024543684673025392,0.05902535730669978,0.03695482443049597,-0.07839412985643551,0.021603490413346582,0.18184739512130887,4.423607588552314e-05
PG,0.07672353313041431,0.16611716383785632,-0.004664141974893542,0.006682375233132974,-0.08439139359419467,-0.05470223612880443,-0.028848974263373267,0.1851266157942904,0.024675620427001957,-0.01145964692273247
GE,0.0860296032985339,-0.0732589572395834,0.001587895827882723,0.027002009667824997,0.05595194866647725,-0.012543484920134018,0.012347427462070182,-0.026057365453251935,-0.18127842417598167,-0.15902920457766082
KO,0.09014092204622985,0.11200793158531014,-0.07448378227979217,0.010673397209999453,0.021370600125895284,-0.032707705966701195,-0.08231311772912539,0.09315378792783302,0.043597452316634755,-0.09689181140831532
CVX,0.09337226189099981,-0.08341956939515856,-0.10846646341502918,0.23151757008092833,0.020263793717276535,0.04070601553817873,-0.014546519019081309,0.026958267064715137,0.061426021646397766,0.1020654180214404
CSCO,0.08964080681865695,0.014872330102380288,0.09037891938673284,0.057065037686347055,-0.06422570069003355,-0.007664388786031034,0.11562708715688984,0.0793623531627641,-0.043954131609373406,-0.12328073273697532
UNH,0.06618333594163867,0.052535319305417987,0.0008447562019100018,0.06753395416324806,0.036418537920628644,-0.13004654062462057,0.03000852446479083,-0.10194778193617247,0.039143742696261155,-0.04292570935930862
IBM,0.08868391245921668,0.006498414024206853,-0.007980047666168666,0.03423993186059183,-0.0466936695815748,-0.00590944585342452,0.04199922841218169,0.04068891076383307,-0.0799873648787296,-0.18274154287044309
WFC,0.10222042606080027,-0.0972051960669296,-0.0570484052924396,-0.13672690594867115,-0.04513746997822764,-0.029203403809136667,0.09100887723703602,0.03544749368369611,-0.01167891620869705,0.021946186434040282
MS,0.10860834128743588,-0.08491031883027703,0.024266078529320754,-0.06284321524511707,-0.021603512999267598,-0.0038735112551502057,0.09161803077285903,0.02622940052800514,-0.03566179128518081,0.0034441058865671004
CAT,0.09298755576318457,-0.09012223582920527,0.02583805808409753,0.057896624019824025,-0.09481793082351168,0.09853668570766884,-0.05947949080182449,-0.056526713301760644,-0.18379261276691064,-0.0683360021542222
MRK,0.06211959885311679,0.08884389941090493,-0.02126980473929224,0.10606680219286407,-0.14560932422116016,-0.1918588450453868,0.03056857077332512,-0.20190438908996583,0.0886457661892934,0.04289574123133421
